YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Data_Value,Sample_Size,Gender,Race,Age,Education
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,17.1,"3,631",Overall,All Races,45 to 64 Years,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,8.7,"4,963",Overall,All Races,65 Years and Older,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,20.7,672,Overall,All Races,Age 20 and Older,< 12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,21,"2,348",Overall,All Races,Age 20 and Older,12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,11.4,"7,379",Overall,All Races,Age 20 and Older,> 12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,19.2,656,Overall,All Races,Age 25 and Older,< 12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,22.5,"2,263",Overall,All Races,Age 25 and Older,12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,12,"7,206",Overall,All Races,Age 25 and Older,> 12th Grade
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,11.6,"1,012",Female,All Races,18 to 44 Years,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,23.6,"5,112",Overall,All Races,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,24.8,"1,923",Male,All Races,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,22.5,"3,189",Female,All Races,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,17.2,746,Overall,African American,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,39,83,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,,,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,21.4,113,Overall,Hispanic,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,24.4,"3,952",Overall,White,All Ages,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,21.3,129,Overall,All Races,18 to 24 Years,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,31.6,694,Overall,All Races,25 to 44 Years,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,24.6,"1,810",Overall,All Races,45 to 64 Years,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,11.3,"2,479",Overall,All Races,65 Years and Older,All Grades
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,38.7,493,Overall,All Races,Age 20 and Older,< 12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,30,"1,747",Overall,All Races,Age 20 and Older,12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,16.6,"2,817",Overall,All Races,Age 20 and Older,> 12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,37.5,490,Overall,All Races,Age 25 and Older,< 12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,28.6,"1,718",Overall,All Races,Age 25 and Older,12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,16.5,"2,762",Overall,All Races,Age 25 and Older,> 12th Grade
2016,AR,Arkansas,Cigarette Use (Adults),Current Smoking,28.8,476,Female,All Races,18 to 44 Years,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,11,"10,427",Overall,All Races,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,13.8,"4,986",Male,All Races,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,8.2,"5,441",Female,All Races,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,15.5,530,Overall,African American,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,17.1,76,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,5.7,869,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,10.6,"3,083",Overall,Hispanic,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,12.1,"5,257",Overall,White,All Ages,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,9.2,"1,010",Overall,All Races,18 to 24 Years,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,12.8,"3,232",Overall,All Races,25 to 44 Years,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,12.6,"3,661",Overall,All Races,45 to 64 Years,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,5.6,"2,525",Overall,All Races,65 Years and Older,All Grades
2016,CA,California,Cigarette Use (Adults),Current Smoking,14.2,"1,305",Overall,All Races,Age 20 and Older,< 12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,14.5,"1,785",Overall,All Races,Age 20 and Older,12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,9.4,"7,044",Overall,All Races,Age 20 and Older,> 12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,13.9,"1,267",Overall,All Races,Age 25 and Older,< 12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,14.1,"1,588",Overall,All Races,Age 25 and Older,12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,9.6,"6,535",Overall,All Races,Age 25 and Older,> 12th Grade
2016,CA,California,Cigarette Use (Adults),Current Smoking,7.6,"2,055",Female,All Races,18 to 44 Years,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,15.6,"13,656",Overall,All Races,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,17.7,"6,207",Male,All Races,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,13.5,"7,449",Female,All Races,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,20.7,303,Overall,African American,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,23.3,107,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,10.6,205,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,18.7,"1,722",Overall,Hispanic,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,14.3,"10,645",Overall,White,All Ages,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,15.7,651,Overall,All Races,18 to 24 Years,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,19,"2,916",Overall,All Races,25 to 44 Years,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,15.9,"5,396",Overall,All Races,45 to 64 Years,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,8,"4,694",Overall,All Races,65 Years and Older,All Grades
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,28.1,770,Overall,All Races,Age 20 and Older,< 12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,22.4,"2,800",Overall,All Races,Age 20 and Older,12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,12.1,"9,858",Overall,All Races,Age 20 and Older,> 12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,27.2,747,Overall,All Races,Age 25 and Older,< 12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,21.6,"2,664",Overall,All Races,Age 25 and Older,12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,12.1,"9,553",Overall,All Races,Age 25 and Older,> 12th Grade
2016,CO,Colorado,Cigarette Use (Adults),Current Smoking,15.4,"1,770",Female,All Races,18 to 44 Years,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,13.3,"10,635",Overall,All Races,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,14.8,"4,556",Male,All Races,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,12,"6,079",Female,All Races,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,16.8,637,Overall,African American,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,,,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,6.7,225,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,15.2,980,Overall,Hispanic,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,12.6,"8,338",Overall,White,All Ages,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,13.1,417,Overall,All Races,18 to 24 Years,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,15.5,"1,773",Overall,All Races,25 to 44 Years,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,14.9,"4,441",Overall,All Races,45 to 64 Years,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,7.8,"4,004",Overall,All Races,65 Years and Older,All Grades
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,28.6,509,Overall,All Races,Age 20 and Older,< 12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,18.6,"2,458",Overall,All Races,Age 20 and Older,12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,8.8,"7,543",Overall,All Races,Age 20 and Older,> 12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,26.6,496,Overall,All Races,Age 25 and Older,< 12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,18.3,"2,392",Overall,All Races,Age 25 and Older,12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,8.7,"7,304",Overall,All Races,Age 25 and Older,> 12th Grade
2016,CT,Connecticut,Cigarette Use (Adults),Current Smoking,13.6,"1,110",Female,All Races,18 to 44 Years,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,17.7,"3,906",Overall,All Races,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,19,"1,738",Male,All Races,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,16.4,"2,168",Female,All Races,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,16.4,548,Overall,African American,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,,,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,6.7,72,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,10.2,343,Overall,Hispanic,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,18.5,"2,733",Overall,White,All Ages,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,11.8,251,Overall,All Races,18 to 24 Years,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,21.2,846,Overall,All Races,25 to 44 Years,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,21.9,"1,481",Overall,All Races,45 to 64 Years,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,9.4,"1,328",Overall,All Races,65 Years and Older,All Grades
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,29.3,373,Overall,All Races,Age 20 and Older,< 12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,23,"1,160",Overall,All Races,Age 20 and Older,12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,12.8,"2,291",Overall,All Races,Age 20 and Older,> 12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,29.5,355,Overall,All Races,Age 25 and Older,< 12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,22.8,"1,100",Overall,All Races,Age 25 and Older,12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,13.5,"2,187",Overall,All Races,Age 25 and Older,> 12th Grade
2016,DE,Delaware,Cigarette Use (Adults),Current Smoking,16.3,563,Female,All Races,18 to 44 Years,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,14.7,"3,736",Overall,All Races,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,17.7,"1,544",Male,All Races,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,12.1,"2,192",Female,All Races,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,21.8,"2,052",Overall,African American,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,,,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,6.6,76,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,8.8,153,Overall,Hispanic,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,9.3,"1,242",Overall,White,All Ages,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,12.9,182,Overall,All Races,18 to 24 Years,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,13.8,"1,051",Overall,All Races,25 to 44 Years,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,20.1,"1,508",Overall,All Races,45 to 64 Years,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,9,"1,001",Overall,All Races,65 Years and Older,All Grades
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,27.6,201,Overall,All Races,Age 20 and Older,< 12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,24.4,834,Overall,All Races,Age 20 and Older,12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,11.2,"2,642",Overall,All Races,Age 20 and Older,> 12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,27.7,195,Overall,All Races,Age 25 and Older,< 12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,25.3,798,Overall,All Races,Age 25 and Older,12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,10.7,"2,543",Overall,All Races,Age 25 and Older,> 12th Grade
2016,DC,District of Columbia,Cigarette Use (Adults),Current Smoking,10.4,698,Female,All Races,18 to 44 Years,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,15.5,"35,059",Overall,All Races,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,17.8,"14,791",Male,All Races,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,13.3,"20,268",Female,All Races,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,12.4,"3,457",Overall,African American,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,26.5,438,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,6.9,410,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,11.8,"4,160",Overall,Hispanic,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,17.9,"25,435",Overall,White,All Ages,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,11.2,"1,767",Overall,All Races,18 to 24 Years,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,19.1,"6,835",Overall,All Races,25 to 44 Years,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,19,"12,256",Overall,All Races,45 to 64 Years,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,8.4,"14,204",Overall,All Races,65 Years and Older,All Grades
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,26.2,"3,588",Overall,All Races,Age 20 and Older,< 12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,19.6,"10,178",Overall,All Races,Age 20 and Older,12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,11.6,"20,657",Overall,All Races,Age 20 and Older,> 12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,25.9,"3,480",Overall,All Races,Age 25 and Older,< 12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,19.9,"9,755",Overall,All Races,Age 25 and Older,12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,11.8,"19,900",Overall,All Races,Age 25 and Older,> 12th Grade
2016,FL,Florida,Cigarette Use (Adults),Current Smoking,13.6,"4,603",Female,All Races,18 to 44 Years,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,17.9,"5,145",Overall,All Races,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,21.2,"2,105",Male,All Races,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,14.8,"3,040",Female,All Races,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,17.9,"1,319",Overall,African American,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,,,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,6.3,100,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,14.1,276,Overall,Hispanic,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,19,"3,193",Overall,White,All Ages,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,11.3,296,Overall,All Races,18 to 24 Years,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,22.1,"1,077",Overall,All Races,25 to 44 Years,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,19.8,"1,862",Overall,All Races,45 to 64 Years,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,10.8,"1,911",Overall,All Races,65 Years and Older,All Grades
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,34.6,584,Overall,All Races,Age 20 and Older,< 12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,23.3,"1,355",Overall,All Races,Age 20 and Older,12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,11.7,"3,106",Overall,All Races,Age 20 and Older,> 12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,34.9,575,Overall,All Races,Age 25 and Older,< 12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,23.8,"1,289",Overall,All Races,Age 25 and Older,12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,12.1,"2,973",Overall,All Races,Age 25 and Older,> 12th Grade
2016,GA,Georgia,Cigarette Use (Adults),Current Smoking,14.6,735,Female,All Races,18 to 44 Years,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,,,Overall,African American,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,,,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,25.2,982,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,28.3,123,Overall,Hispanic,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,15.9,144,Overall,White,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,17,147,Overall,All Races,18 to 24 Years,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,30.2,502,Overall,All Races,25 to 44 Years,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,26.8,605,Overall,All Races,45 to 64 Years,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,12.8,269,Overall,All Races,65 Years and Older,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,43.1,126,Overall,All Races,Age 20 and Older,< 12th Grade
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,25.3,475,Overall,All Races,Age 20 and Older,12th Grade
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,18.8,875,Overall,All Races,Age 20 and Older,> 12th Grade
